date,open,close,high,low,volume,code
2005-05-09,0.527,0.504,0.55,0.481,2447.36,600848
2005-05-10,0.481,0.487,0.516,0.429,3528.87,600848
2005-05-11,0.504,0.493,0.55,0.47,5791.31,600848
2005-05-12,0.452,0.418,0.47,0.418,4212.0,600848
2005-05-13,0.378,0.435,0.441,0.372,2342.01,600848
2005-05-16,0.424,0.441,0.447,0.378,2059.01,600848
2005-05-17,0.452,0.458,0.487,0.441,1725.0,600848
2005-05-18,0.435,0.458,0.475,0.435,903.0,600848
2005-05-19,0.464,0.464,0.475,0.441,916.0,600848
2005-05-20,0.441,0.424,0.452,0.418,913.0,600848
2005-05-23,0.435,0.36,0.435,0.355,1573.0,600848
2005-05-24,0.343,0.401,0.406,0.343,1172.0,600848
2005-05-25,0.401,0.406,0.418,0.372,1862.0,600848
2005-05-26,0.418,0.395,0.418,0.372,1574.0,600848
2005-05-27,0.424,0.464,0.464,0.418,7842.76,600848
2005-05-30,0.516,0.47,0.521,0.429,4530.13,600848
2005-05-31,0.458,0.447,0.464,0.435,1495.0,600848
2005-06-01,0.435,0.435,0.47,0.424,1435.0,600848
2005-06-02,0.435,0.435,0.464,0.418,1353.04,600848
2005-06-03,0.435,0.412,0.447,0.412,897.0,600848
2005-06-06,0.418,0.441,0.452,0.412,1337.0,600848
2005-06-07,0.447,0.452,0.464,0.424,2367.0,600848
2005-06-08,0.452,0.521,0.521,0.447,7009.61,600848
2005-06-09,0.516,0.51,0.533,0.481,5039.84,600848
2005-06-10,0.498,0.544,0.567,0.487,6066.52,600848
2005-06-13,0.544,0.562,0.59,0.544,5655.99,600848
2005-06-14,0.579,0.533,0.579,0.521,2365.41,600848
2005-06-15,0.533,0.498,0.556,0.487,3745.0,600848
2005-06-16,0.498,0.539,0.567,0.498,3010.99,600848
2005-06-17,0.55,0.527,0.562,0.516,1318.02,600848
2005-06-20,0.516,0.55,0.55,0.504,1338.11,600848
2005-06-21,0.567,0.544,0.567,0.527,529.0,600848
2005-06-22,0.55,0.579,0.608,0.533,3673.51,600848
2005-06-23,0.625,0.516,0.625,0.516,1498.0,600848
2005-06-24,0.504,0.544,0.55,0.504,1245.0,600848
2005-06-27,0.567,0.573,0.59,0.55,1497.55,600848
2005-06-29,0.55,0.533,0.55,0.521,1240.01,600848
2005-06-30,0.516,0.498,0.539,0.498,1558.0,600848
2005-07-01,0.516,0.429,0.539,0.424,1614.0,600848
2005-07-04,0.452,0.395,0.452,0.36,1169.0,600848
2005-07-05,0.395,0.395,0.412,0.378,490.0,600848
2005-07-06,0.429,0.389,0.429,0.372,467.0,600848
2005-07-07,0.366,0.401,0.406,0.366,335.0,600848
2005-07-08,0.378,0.36,0.378,0.343,452.0,600848
2005-07-11,0.395,0.314,0.395,0.309,612.76,600848
2005-07-12,0.36,0.337,0.36,0.251,1631.01,600848
2005-07-13,0.32,0.309,0.32,0.28,811.0,600848
2005-07-14,0.303,0.303,0.309,0.274,817.84,600848
2005-07-15,0.286,0.303,0.314,0.28,656.0,600848
2005-07-18,0.28,0.257,0.303,0.24,1612.7,600848
2005-07-19,0.257,0.257,0.291,0.217,1015.0,600848
2005-07-20,0.268,0.32,0.32,0.222,3063.0,600848
2005-07-21,0.32,0.297,0.337,0.274,1184.49,600848
2005-07-22,0.303,0.32,0.343,0.297,1376.6,600848
2005-07-25,0.314,0.32,0.337,0.309,1170.84,600848
2005-07-26,0.291,0.326,0.343,0.291,1222.0,600848
2005-07-27,0.355,0.343,0.355,0.314,2481.7,600848
2005-07-28,0.36,0.406,0.406,0.355,7032.16,600848
2005-07-29,0.406,0.475,0.475,0.372,10425.68,600848
2005-08-01,0.51,0.447,0.516,0.441,4937.87,600848
2005-08-02,0.447,0.452,0.47,0.418,2714.81,600848
2005-08-03,0.441,0.487,0.487,0.401,10695.09,600848
2005-08-04,0.47,0.447,0.47,0.435,3060.8,600848
2005-08-05,0.441,0.458,0.458,0.418,5893.75,600848
2005-08-08,0.458,0.458,0.487,0.441,5495.2,600848
2005-08-09,0.458,0.527,0.527,0.458,7698.11,600848
2005-08-10,0.544,0.596,0.602,0.544,12559.05,600848
2005-08-11,0.613,0.671,0.671,0.613,18601.02,600848
2005-08-12,0.751,0.751,0.751,0.717,13809.04,600848
2005-08-15,0.837,0.837,0.837,0.837,2208.56,600848
2005-08-16,0.929,0.929,0.929,0.929,1515.85,600848
2005-08-17,1.021,1.021,1.021,0.929,16533.08,600848
2005-08-18,1.05,0.924,1.119,0.924,17563.23,600848
2005-08-19,0.832,0.832,0.906,0.832,14223.45,600848
2005-08-22,0.745,0.786,0.803,0.745,13818.92,600848
2005-08-23,0.797,0.791,0.872,0.774,8649.05,600848
2005-08-24,0.855,0.878,0.878,0.803,10438.73,600848
2005-08-25,0.878,0.97,0.97,0.832,18916.65,600848
2005-08-26,1.044,1.067,1.067,1.004,14025.19,600848
2005-08-29,1.165,0.975,1.171,0.964,27552.92,600848
2005-08-30,0.918,0.878,0.918,0.878,8167.0,600848
2005-08-31,0.786,0.86,0.883,0.786,10976.62,600848
2005-09-01,0.86,0.901,0.947,0.82,6424.71,600848
2005-09-02,0.935,0.883,0.935,0.849,5558.08,600848
2005-09-05,0.878,0.975,0.975,0.832,12141.11,600848
2005-09-06,0.975,0.889,0.998,0.878,10005.06,600848
2005-09-07,0.883,0.912,0.918,0.86,4622.5,600848
2005-09-08,0.889,0.872,0.906,0.86,4139.0,600848
2005-09-09,0.872,0.889,0.906,0.872,3450.84,600848
2005-09-12,0.883,0.918,0.929,0.849,4055.51,600848
2005-09-13,0.918,0.947,0.981,0.918,6009.7,600848
2005-09-14,0.935,0.941,0.975,0.918,5682.0,600848
2005-09-15,0.941,0.952,0.97,0.918,5525.61,600848
2005-09-16,0.958,0.975,0.993,0.918,7114.95,600848
2005-09-19,0.987,1.044,1.05,0.987,9167.0,600848
2005-09-20,1.073,1.125,1.142,1.01,16104.95,600848
2005-09-21,1.119,1.021,1.165,1.021,14808.28,600848
2005-09-22,0.947,0.924,0.998,0.924,8044.99,600848
2005-09-23,0.837,0.895,0.929,0.837,5093.3,600848
2005-09-26,0.889,0.866,0.901,0.86,2004.59,600848
2005-09-27,0.86,0.855,0.906,0.849,3546.98,600848
2005-09-28,0.86,0.855,0.912,0.855,2041.29,600848
2005-09-29,0.866,0.947,0.947,0.866,6283.15,600848
2005-09-30,0.947,0.878,0.975,0.872,3349.0,600848
2005-10-10,0.889,0.837,0.906,0.809,3406.49,600848
2005-10-11,0.843,0.849,0.878,0.791,3322.85,600848
2005-10-12,0.849,0.866,0.883,0.849,2658.76,600848
2005-10-13,0.86,0.826,0.878,0.826,2550.0,600848
2005-10-14,0.826,0.745,0.849,0.74,4718.0,600848
2005-10-17,0.745,0.768,0.774,0.745,1882.74,600848
2005-10-18,0.78,0.814,0.826,0.757,1501.0,600848
2005-10-19,0.826,0.814,0.832,0.78,2001.0,600848
2005-10-20,0.791,0.774,0.809,0.763,2541.0,600848
2005-10-21,0.774,0.791,0.803,0.763,1686.0,600848
2005-10-24,0.78,0.78,0.797,0.757,1066.8,600848
2005-10-25,0.774,0.786,0.797,0.774,1507.23,600848
2005-10-26,0.763,0.751,0.82,0.751,2560.1,600848
2005-10-27,0.763,0.665,0.763,0.665,4437.72,600848
2005-10-28,0.671,0.602,0.676,0.585,2011.01,600848
2005-10-31,0.59,0.682,0.682,0.59,2563.88,600848
2005-11-01,0.717,0.763,0.763,0.676,4460.39,600848
2005-11-02,0.763,0.78,0.797,0.676,3931.99,600848
2005-11-03,0.774,0.745,0.786,0.745,1752.07,600848
2005-11-04,0.717,0.791,0.797,0.717,2805.46,600848
2005-11-07,0.82,0.797,0.82,0.763,1453.0,600848
2005-11-08,0.786,0.791,0.803,0.751,1177.0,600848
2005-11-09,0.757,0.774,0.791,0.74,1105.79,600848
2005-11-10,0.774,0.734,0.774,0.717,1532.85,600848
2005-11-11,0.745,0.774,0.786,0.745,1338.99,600848
2005-11-14,0.774,0.797,0.803,0.774,1184.59,600848
2005-11-15,0.797,0.883,0.883,0.797,9397.93,600848
2005-11-16,0.947,0.86,0.97,0.855,8079.58,600848
2005-11-17,0.843,0.82,0.843,0.768,4098.48,600848
2005-11-18,0.814,0.86,0.872,0.797,4378.99,600848
2005-11-21,0.855,0.832,0.866,0.809,2142.04,600848
2005-11-22,0.832,0.82,0.849,0.809,1489.0,600848
2005-11-23,0.82,0.832,0.837,0.78,1549.64,600848
2005-11-24,0.832,0.826,0.832,0.786,1694.0,600848
2005-11-25,0.809,0.832,0.837,0.809,1618.3,600848
2005-11-28,0.814,0.855,0.878,0.797,2897.46,600848
2005-11-29,0.855,0.826,0.878,0.82,1836.0,600848
2005-11-30,0.82,0.82,0.826,0.791,1940.19,600848
2005-12-01,0.82,0.786,0.82,0.774,2061.0,600848
2005-12-02,0.774,0.763,0.803,0.757,987.5,600848
2005-12-05,0.751,0.676,0.751,0.676,2170.37,600848
2005-12-06,0.676,0.688,0.705,0.653,1260.0,600848
2005-12-07,0.694,0.705,0.717,0.671,1146.06,600848
2005-12-08,0.682,0.711,0.717,0.682,604.06,600848
2005-12-09,0.711,0.728,0.728,0.699,834.0,600848
2005-12-12,0.705,0.717,0.728,0.699,936.56,600848
2005-12-13,0.734,0.774,0.78,0.717,1675.99,600848
2005-12-14,0.774,0.763,0.774,0.722,682.0,600848
2005-12-15,0.763,0.751,0.774,0.745,444.0,600848
2005-12-16,0.734,0.734,0.763,0.722,1039.0,600848
2005-12-19,0.722,0.734,0.74,0.717,1445.0,600848
2005-12-20,0.745,0.745,0.751,0.722,883.02,600848
2005-12-21,0.728,0.734,0.751,0.722,1345.06,600848
2005-12-22,0.722,0.717,0.734,0.699,1839.58,600848
2005-12-23,0.717,0.745,0.774,0.717,2119.58,600848
2005-12-26,0.751,0.763,0.768,0.745,1636.2,600848
2005-12-27,0.757,0.768,0.774,0.751,1583.0,600848
2005-12-28,0.768,0.751,0.768,0.722,1347.14,600848
2005-12-29,0.74,0.768,0.768,0.734,2524.0,600848
2005-12-30,0.774,0.78,0.803,0.757,4146.0,600848
2006-01-04,0.82,0.797,0.82,0.745,1819.89,600848
2006-01-05,0.814,0.797,0.814,0.78,1947.02,600848
2006-01-06,0.797,0.843,0.843,0.791,4816.38,600848
2006-01-09,0.883,0.935,0.935,0.832,8719.41,600848
2006-01-10,0.935,0.889,0.935,0.86,3726.14,600848
