date,open,close,high,low,volume,code,5日均线,10日均线,涨幅,跌幅
2005-05-09,0.527,0.504,0.55,0.481,2447.36,600848,,,,
2005-05-10,0.481,0.487,0.516,0.429,3528.87,600848,,,,
2005-05-11,0.504,0.493,0.55,0.47,5791.31,600848,,,,
2005-05-12,0.452,0.418,0.47,0.418,4212.0,600848,,,,
2005-05-13,0.378,0.435,0.441,0.372,2342.01,600848,0.4673999999999999,,,
2005-05-16,0.424,0.441,0.447,0.378,2059.01,600848,0.4547999999999999,,-0.125,0.125
2005-05-17,0.452,0.458,0.487,0.441,1725.0,600848,0.44899999999999995,,-0.05954825462012314,0.05954825462012314
2005-05-18,0.435,0.458,0.475,0.435,903.0,600848,0.442,,-0.07099391480730219,0.07099391480730219
2005-05-19,0.464,0.464,0.475,0.441,916.0,600848,0.45120000000000005,,0.11004784688995226,-0.11004784688995226
2005-05-20,0.441,0.424,0.452,0.418,913.0,600848,0.449,0.45820000000000005,-0.025287356321839104,0.025287356321839104
2005-05-23,0.435,0.36,0.435,0.355,1573.0,600848,0.4328,0.44380000000000014,-0.18367346938775514,0.18367346938775514
2005-05-24,0.343,0.401,0.406,0.343,1172.0,600848,0.42140000000000005,0.43520000000000014,-0.1244541484716157,0.1244541484716157
2005-05-25,0.401,0.406,0.418,0.372,1862.0,600848,0.41100000000000003,0.42650000000000016,-0.1135371179039301,0.1135371179039301
2005-05-26,0.418,0.395,0.418,0.372,1574.0,600848,0.39720000000000005,0.4242000000000001,-0.14870689655172414,0.14870689655172414
2005-05-27,0.424,0.464,0.464,0.418,7842.76,600848,0.40520000000000006,0.4271000000000001,0.09433962264150952,-0.09433962264150952
2005-05-30,0.516,0.47,0.521,0.429,4530.13,600848,0.4272,0.43000000000000005,0.3055555555555555,-0.3055555555555555
2005-05-31,0.458,0.447,0.464,0.435,1495.0,600848,0.4364,0.42890000000000006,0.11471321695760595,-0.11471321695760595
2005-06-01,0.435,0.435,0.47,0.424,1435.0,600848,0.4422,0.4266,0.07142857142857136,-0.07142857142857136
2005-06-02,0.435,0.435,0.464,0.418,1353.04,600848,0.4502,0.4237,0.10126582278481007,-0.10126582278481007
2005-06-03,0.435,0.412,0.447,0.412,897.0,600848,0.43979999999999997,0.42250000000000004,-0.11206896551724148,0.11206896551724148
2005-06-06,0.418,0.441,0.452,0.412,1337.0,600848,0.434,0.4306000000000001,-0.06170212765957441,0.06170212765957441
2005-06-07,0.447,0.452,0.464,0.424,2367.0,600848,0.43499999999999994,0.4357000000000001,0.011185682326621933,-0.011185682326621933
2005-06-08,0.452,0.521,0.521,0.447,7009.61,600848,0.45219999999999994,0.44720000000000015,0.1977011494252874,-0.1977011494252874
2005-06-09,0.516,0.51,0.533,0.481,5039.84,600848,0.4671999999999999,0.45870000000000016,0.17241379310344832,-0.17241379310344832
2005-06-10,0.498,0.544,0.567,0.487,6066.52,600848,0.4935999999999999,0.46670000000000017,0.3203883495145633,-0.3203883495145633
2005-06-13,0.544,0.562,0.59,0.544,5655.99,600848,0.5177999999999999,0.4759000000000002,0.2743764172335602,-0.2743764172335602
2005-06-14,0.579,0.533,0.579,0.521,2365.41,600848,0.5339999999999999,0.48450000000000026,0.17920353982300888,-0.17920353982300888
2005-06-15,0.533,0.498,0.556,0.487,3745.0,600848,0.5293999999999999,0.4908000000000003,-0.04414587332053747,0.04414587332053747
2005-06-16,0.498,0.539,0.567,0.498,3010.99,600848,0.5351999999999999,0.5012000000000003,0.05686274509803926,-0.05686274509803926
2005-06-17,0.55,0.527,0.562,0.516,1318.02,600848,0.5317999999999999,0.5127000000000004,-0.03125000000000003,0.03125000000000003
2005-06-20,0.516,0.55,0.55,0.504,1338.11,600848,0.5293999999999999,0.5236000000000003,-0.021352313167259804,0.021352313167259804
2005-06-21,0.567,0.544,0.567,0.527,529.0,600848,0.5315999999999999,0.5328000000000003,0.02063789868667919,-0.02063789868667919
2005-06-22,0.55,0.579,0.608,0.533,3673.51,600848,0.5477999999999998,0.5386000000000003,0.16265060240963847,-0.16265060240963847
2005-06-23,0.625,0.516,0.625,0.516,1498.0,600848,0.5431999999999998,0.5392000000000003,-0.042671614100185565,0.042671614100185565
2005-06-24,0.504,0.544,0.55,0.504,1245.0,600848,0.5465999999999998,0.5392000000000003,0.03225806451612906,-0.03225806451612906
2005-06-27,0.567,0.573,0.59,0.55,1497.55,600848,0.5511999999999998,0.5403000000000002,0.04181818181818165,-0.04181818181818165
2005-06-29,0.55,0.533,0.55,0.521,1240.01,600848,0.5489999999999997,0.5403000000000002,-0.020220588235294133,0.020220588235294133
2005-06-30,0.516,0.498,0.539,0.498,1558.0,600848,0.5327999999999997,0.5403000000000002,-0.13989637305699476,0.13989637305699476
2005-07-01,0.516,0.429,0.539,0.424,1614.0,600848,0.5153999999999997,0.5293000000000003,-0.16860465116279075,0.16860465116279075
2005-07-04,0.452,0.395,0.452,0.36,1169.0,600848,0.4855999999999997,0.5161000000000003,-0.27389705882352944,0.27389705882352944
2005-07-05,0.395,0.395,0.412,0.378,490.0,600848,0.44999999999999973,0.5006000000000004,-0.3106457242582896,0.3106457242582896
2005-07-06,0.429,0.389,0.429,0.372,467.0,600848,0.4211999999999998,0.48510000000000036,-0.2701688555347092,0.2701688555347092
2005-07-07,0.366,0.401,0.406,0.366,335.0,600848,0.4017999999999998,0.4673000000000004,-0.1947791164658634,0.1947791164658634
2005-07-08,0.378,0.36,0.378,0.343,452.0,600848,0.3879999999999998,0.4517000000000004,-0.16083916083916086,0.16083916083916086
2005-07-11,0.395,0.314,0.395,0.309,612.76,600848,0.3717999999999998,0.42870000000000036,-0.20506329113924054,0.20506329113924054
2005-07-12,0.36,0.337,0.36,0.251,1631.01,600848,0.3601999999999998,0.40510000000000035,-0.14683544303797466,0.14683544303797466
2005-07-13,0.32,0.309,0.32,0.28,811.0,600848,0.3441999999999998,0.3827000000000004,-0.20565552699228795,0.20565552699228795
2005-07-14,0.303,0.303,0.309,0.274,817.84,600848,0.3245999999999998,0.3632000000000004,-0.24438902743142152,0.24438902743142152
2005-07-15,0.286,0.303,0.314,0.28,656.0,600848,0.3131999999999998,0.3506000000000004,-0.15833333333333333,0.15833333333333333
2005-07-18,0.28,0.257,0.303,0.24,1612.7,600848,0.3017999999999998,0.33680000000000043,-0.18152866242038215,0.18152866242038215
2005-07-19,0.257,0.257,0.291,0.217,1015.0,600848,0.2857999999999998,0.32300000000000045,-0.23738872403560835,0.23738872403560835
2005-07-20,0.268,0.32,0.32,0.222,3063.0,600848,0.2879999999999998,0.31610000000000044,0.03559870550161816,-0.03559870550161816
2005-07-21,0.32,0.297,0.337,0.274,1184.49,600848,0.28679999999999983,0.3057000000000004,-0.01980198019801982,0.01980198019801982
2005-07-22,0.303,0.32,0.343,0.297,1376.6,600848,0.29019999999999985,0.3017000000000004,0.05610561056105616,-0.05610561056105616
2005-07-25,0.314,0.32,0.337,0.309,1170.84,600848,0.30279999999999985,0.3023000000000004,0.245136186770428,-0.245136186770428
2005-07-26,0.291,0.326,0.343,0.291,1222.0,600848,0.3165999999999999,0.3012000000000004,0.26848249027237353,-0.26848249027237353
2005-07-27,0.355,0.343,0.355,0.314,2481.7,600848,0.3211999999999998,0.30460000000000037,0.07187500000000006,-0.07187500000000006
2005-07-28,0.36,0.406,0.406,0.355,7032.16,600848,0.34299999999999986,0.3149000000000004,0.36700336700336716,-0.36700336700336716
2005-07-29,0.406,0.475,0.475,0.372,10425.68,600848,0.37399999999999983,0.3321000000000004,0.4843749999999999,-0.4843749999999999
2005-08-01,0.51,0.447,0.516,0.441,4937.87,600848,0.39939999999999987,0.3511000000000004,0.396875,-0.396875
2005-08-02,0.447,0.452,0.47,0.418,2714.81,600848,0.42459999999999987,0.3706000000000004,0.38650306748466257,-0.38650306748466257
2005-08-03,0.441,0.487,0.487,0.401,10695.09,600848,0.4533999999999999,0.3873000000000004,0.4198250728862972,-0.4198250728862972
2005-08-04,0.47,0.447,0.47,0.435,3060.8,600848,0.4615999999999999,0.40230000000000044,0.1009852216748768,-0.1009852216748768
2005-08-05,0.441,0.458,0.458,0.418,5893.75,600848,0.4581999999999999,0.4161000000000004,-0.03578947368421044,0.03578947368421044
2005-08-08,0.458,0.458,0.487,0.441,5495.2,600848,0.4603999999999999,0.4299000000000004,0.024608501118568254,-0.024608501118568254
2005-08-09,0.458,0.527,0.527,0.458,7698.11,600848,0.47539999999999993,0.45000000000000034,0.16592920353982302,-0.16592920353982302
2005-08-10,0.544,0.596,0.602,0.544,12559.05,600848,0.4972,0.4753000000000004,0.22381930184804927,-0.22381930184804927
2005-08-11,0.613,0.671,0.671,0.613,18601.02,600848,0.542,0.5018000000000005,0.5011185682326622,-0.5011185682326622
2005-08-12,0.751,0.751,0.751,0.717,13809.04,600848,0.6005999999999999,0.5294000000000005,0.6397379912663754,-0.6397379912663754
2005-08-15,0.837,0.837,0.837,0.837,2208.56,600848,0.6763999999999999,0.5684000000000005,0.8275109170305676,-0.8275109170305676
2005-08-16,0.929,0.929,0.929,0.929,1515.85,600848,0.7567999999999999,0.6161000000000005,0.7628083491461101,-0.7628083491461101
2005-08-17,1.021,1.021,1.021,0.929,16533.08,600848,0.8417999999999999,0.6695000000000004,0.7130872483221475,-0.7130872483221475
2005-08-18,1.05,0.924,1.119,0.924,17563.23,600848,0.8924,0.7172000000000005,0.3770491803278688,-0.3770491803278688
2005-08-19,0.832,0.832,0.906,0.832,14223.45,600848,0.9086000000000001,0.7546000000000005,0.10785619174434083,-0.10785619174434083
2005-08-22,0.745,0.786,0.803,0.745,13818.92,600848,0.8984000000000002,0.7874000000000004,-0.060931899641576984,0.060931899641576984
2005-08-23,0.797,0.791,0.872,0.774,8649.05,600848,0.8708000000000002,0.8138000000000003,-0.14854682454251883,0.14854682454251883
2005-08-24,0.855,0.878,0.878,0.803,10438.73,600848,0.8422000000000003,0.8420000000000003,-0.14005876591576877,0.14005876591576877
2005-08-25,0.878,0.97,0.97,0.832,18916.65,600848,0.8514000000000003,0.8719000000000003,0.04978354978354971,-0.04978354978354971
2005-08-26,1.044,1.067,1.067,1.004,14025.19,600848,0.8984000000000003,0.9035000000000002,0.2824519230769231,-0.2824519230769231
2005-08-29,1.165,0.975,1.171,0.964,27552.92,600848,0.9362000000000004,0.9173000000000002,0.2404580152671755,-0.2404580152671755
