date,open,close,high,low,volume,code
2007-10-12,6.75,8.198,8.353,6.731,81245.94,002175
2007-10-15,7.488,7.364,7.786,7.364,13748.61,002175
2007-10-16,6.622,6.614,6.799,6.614,13568.95,002175
2007-10-17,6.393,6.566,6.819,6.35,35514.68,002175
2007-10-18,6.351,5.933,6.358,5.917,25049.53,002175
2007-10-19,6.026,5.773,6.029,5.712,12543.77,002175
2007-10-22,5.694,5.308,5.709,5.308,13132.0,002175
2007-10-23,5.371,5.549,5.577,5.279,12392.42,002175
2007-10-24,5.468,5.172,5.505,5.148,10469.98,002175
2007-10-25,5.185,4.641,5.228,4.641,12617.16,002175
2007-10-26,4.507,4.347,4.603,4.318,8794.99,002175
2007-10-29,4.348,4.507,4.544,4.323,6335.82,002175
2007-10-30,4.467,4.507,4.555,4.276,6302.62,002175
2007-10-31,4.507,4.972,4.972,4.507,15553.2,002175
2007-11-01,4.972,4.712,4.981,4.693,8527.73,002175
2007-11-02,4.555,4.364,4.665,4.347,6422.91,002175
2007-11-05,4.364,4.48,4.521,4.347,5612.58,002175
2007-11-06,4.507,4.467,4.547,4.366,3964.69,002175
2007-11-07,4.47,4.377,4.507,4.329,4518.23,002175
2007-11-08,4.387,4.369,4.504,4.347,4108.2,002175
2007-11-09,4.395,4.587,4.664,4.363,8489.2,002175
2007-11-12,4.507,4.186,4.545,4.122,6362.81,002175
2007-11-13,4.215,4.09,4.315,4.071,4626.18,002175
2007-11-14,4.17,4.286,4.29,4.125,3921.37,002175
2007-11-15,4.274,4.157,4.274,4.146,3200.71,002175
2007-11-16,4.095,4.25,4.266,4.095,3735.4,002175
2007-11-19,4.263,4.52,4.563,4.202,12399.94,002175
2007-11-20,4.515,4.51,4.654,4.367,7855.15,002175
2007-11-21,4.52,4.824,4.888,4.467,13778.44,002175
2007-11-22,4.73,4.635,4.94,4.603,12118.38,002175
2007-11-23,4.587,4.505,4.6,4.218,5474.85,002175
2007-11-26,4.547,4.475,4.627,4.427,3923.39,002175
2007-11-27,4.462,4.218,4.467,4.206,4145.7,002175
2007-11-28,4.258,4.186,4.347,4.135,1807.64,002175
2007-11-29,4.223,4.335,4.377,4.204,4291.14,002175
2007-11-30,4.335,4.218,4.335,4.186,2354.35,002175
2007-12-03,4.191,4.199,4.282,4.154,2103.69,002175
2007-12-04,4.183,4.228,4.313,4.183,1713.46,002175
2007-12-05,4.202,4.401,4.46,4.202,5065.42,002175
2007-12-06,4.399,4.499,4.582,4.399,4520.06,002175
2007-12-07,4.475,4.48,4.547,4.46,2835.61,002175
