date,open,close,high,low,volume,code
2005-05-09,1.38,1.342,1.4,1.325,4882.8,000988
2005-05-10,1.322,1.36,1.362,1.244,5402.15,000988
2005-05-11,1.31,1.415,1.415,1.31,12741.19,000988
2005-05-12,1.413,1.38,1.418,1.36,6125.82,000988
2005-05-13,1.38,1.405,1.42,1.373,7230.23,000988
2005-05-16,1.388,1.35,1.403,1.342,6254.7,000988
2005-05-17,1.335,1.373,1.395,1.325,4166.98,000988
2005-05-18,1.373,1.388,1.393,1.357,3661.43,000988
2005-05-19,1.388,1.41,1.42,1.378,10408.67,000988
2005-05-20,1.41,1.375,1.41,1.368,5528.6,000988
2005-05-23,1.373,1.307,1.373,1.3,5371.2,000988
2005-05-24,1.305,1.342,1.357,1.295,3919.08,000988
2005-05-25,1.342,1.325,1.357,1.32,3438.56,000988
2005-05-26,1.307,1.317,1.342,1.307,2634.86,000988
2005-05-27,1.312,1.34,1.357,1.307,5162.14,000988
2005-05-30,1.337,1.36,1.37,1.317,3080.97,000988
2005-05-31,1.362,1.342,1.38,1.335,2929.79,000988
2005-06-01,1.325,1.322,1.337,1.297,2797.6,000988
2005-06-02,1.307,1.31,1.332,1.297,2096.6,000988
2005-06-03,1.305,1.317,1.342,1.285,2416.0,000988
2005-06-06,1.287,1.322,1.327,1.275,3032.14,000988
2005-06-07,1.322,1.342,1.38,1.322,6483.29,000988
2005-06-08,1.355,1.445,1.468,1.355,18167.11,000988
2005-06-09,1.443,1.455,1.488,1.418,15791.34,000988
2005-06-10,1.45,1.41,1.465,1.405,10463.81,000988
2005-06-13,1.393,1.428,1.443,1.375,7220.77,000988
2005-06-14,1.435,1.398,1.438,1.383,4724.78,000988
2005-06-15,1.41,1.34,1.413,1.337,4791.7,000988
2005-06-16,1.34,1.35,1.365,1.32,5186.92,000988
2005-06-17,1.35,1.332,1.362,1.325,4178.49,000988
2005-06-20,1.347,1.4,1.408,1.31,8001.79,000988
2005-06-21,1.415,1.39,1.415,1.373,6759.43,000988
2005-06-22,1.385,1.428,1.433,1.37,7710.66,000988
2005-06-23,1.423,1.393,1.428,1.38,6469.01,000988
2005-06-24,1.393,1.39,1.398,1.362,3525.74,000988
2005-06-27,1.413,1.45,1.465,1.395,15967.91,000988
2005-06-28,1.423,1.415,1.455,1.415,11358.73,000988
2005-06-29,1.415,1.42,1.443,1.415,4949.73,000988
2005-07-01,1.373,1.265,1.373,1.265,14389.3,000988
2005-07-04,1.252,1.179,1.252,1.134,11666.04,000988
2005-07-05,1.169,1.159,1.187,1.146,4141.69,000988
2005-07-06,1.156,1.146,1.182,1.141,2920.65,000988
2005-07-07,1.174,1.164,1.174,1.146,3509.56,000988
2005-07-08,1.149,1.069,1.151,1.066,8042.82,000988
2005-07-11,1.076,1.076,1.126,1.076,5789.63,000988
2005-07-12,1.081,1.129,1.146,1.053,4927.99,000988
2005-07-13,1.129,1.114,1.141,1.104,3566.69,000988
2005-07-14,1.126,1.129,1.167,1.121,4335.02,000988
2005-07-15,1.104,1.079,1.151,1.076,3145.0,000988
2005-07-18,1.081,1.008,1.081,1.001,5722.02,000988
2005-07-19,1.008,1.023,1.038,1.001,3488.48,000988
2005-07-20,1.016,1.031,1.051,1.008,3241.62,000988
2005-07-21,1.013,1.028,1.038,0.986,4103.25,000988
2005-07-22,1.028,1.066,1.084,1.028,7563.45,000988
2005-07-25,1.071,1.043,1.071,1.033,4349.37,000988
2005-07-26,1.041,1.099,1.126,1.041,13000.73,000988
2005-07-27,1.099,1.124,1.126,1.074,9688.13,000988
2005-07-28,1.126,1.164,1.194,1.104,20966.15,000988
2005-07-29,1.146,1.136,1.169,1.121,10690.45,000988
2005-08-01,1.141,1.131,1.149,1.109,5418.51,000988
2005-08-03,1.164,1.169,1.207,1.156,18347.81,000988
2005-08-04,1.164,1.172,1.179,1.126,7182.05,000988
2005-08-05,1.164,1.227,1.227,1.164,15953.48,000988
2005-08-08,1.247,1.227,1.262,1.222,20371.49,000988
2005-08-09,1.227,1.257,1.267,1.207,11905.58,000988
2005-08-10,1.262,1.29,1.297,1.224,17389.8,000988
2005-08-11,1.29,1.277,1.29,1.252,16579.13,000988
2005-08-12,1.28,1.232,1.282,1.224,13766.01,000988
2005-08-15,1.234,1.292,1.295,1.234,14809.73,000988
