date,open,close,high,low,volume,code,5日均线,10日均线,涨幅,跌幅,mixumum,minumum
2005-05-09,1.38,1.342,1.4,1.325,4882.8,988,,,,,False,False
2005-05-10,1.322,1.36,1.362,1.244,5402.15,988,,,,,False,False
2005-05-11,1.31,1.415,1.415,1.31,12741.19,988,,,,,False,False
2005-05-12,1.413,1.38,1.418,1.36,6125.82,988,,,,,False,False
2005-05-13,1.38,1.405,1.42,1.373,7230.23,988,1.3804,,,,False,False
2005-05-16,1.388,1.35,1.403,1.342,6254.7,988,1.382,,0.0059612518628912,-0.0059612518628912,False,False
2005-05-17,1.335,1.373,1.395,1.325,4166.98,988,1.3846,,0.0095588235294116,-0.0095588235294116,False,False
2005-05-18,1.373,1.388,1.393,1.357,3661.43,988,1.3792,,-0.0190812720848057,0.0190812720848057,False,False
2005-05-19,1.388,1.41,1.42,1.378,10408.67,988,1.3852,,0.0217391304347826,-0.0217391304347826,False,False
2005-05-20,1.41,1.375,1.41,1.368,5528.6,988,1.3792,1.3798,-0.0213523131672598,0.0213523131672598,False,False
2005-05-23,1.373,1.307,1.373,1.3,5371.2,988,1.3706,1.3763,-0.0318518518518519,0.0318518518518519,False,False
2005-05-24,1.305,1.342,1.357,1.295,3919.08,988,1.3643999999999998,1.3745,-0.0225782957028404,0.0225782957028404,False,False
2005-05-25,1.342,1.325,1.357,1.32,3438.56,988,1.3518,1.3655000000000002,-0.0453890489913544,0.0453890489913544,False,False
2005-05-26,1.307,1.317,1.342,1.307,2634.86,988,1.3332,1.3592000000000002,-0.0659574468085106,0.0659574468085106,False,False
2005-05-27,1.312,1.34,1.357,1.307,5162.14,988,1.3261999999999998,1.3527000000000002,-0.0254545454545453,0.0254545454545453,False,False
2005-05-30,1.337,1.36,1.37,1.317,3080.97,988,1.3368,1.3537000000000003,0.0405508798775823,-0.0405508798775823,False,False
2005-05-31,1.362,1.342,1.38,1.335,2929.79,988,1.3368000000000002,1.3506000000000005,0.0,0.0,False,False
2005-06-01,1.325,1.322,1.337,1.297,2797.6,988,1.3362000000000005,1.3440000000000003,-0.0022641509433961,0.0022641509433961,False,False
2005-06-02,1.307,1.31,1.332,1.297,2096.6,988,1.3348000000000002,1.3340000000000003,-0.0053151100987091,0.0053151100987091,False,False
2005-06-03,1.305,1.317,1.342,1.285,2416.0,988,1.3302000000000005,1.3282000000000005,-0.0171641791044777,0.0171641791044777,False,False
2005-06-06,1.287,1.322,1.327,1.275,3032.14,988,1.3226000000000002,1.3297000000000003,-0.0279411764705882,0.0279411764705882,False,False
2005-06-07,1.322,1.342,1.38,1.322,6483.29,988,1.3226000000000002,1.3297000000000003,0.0,0.0,False,False
2005-06-08,1.355,1.445,1.468,1.355,18167.11,988,1.3472000000000004,1.3417000000000006,0.0930408472012102,-0.0930408472012102,False,False
2005-06-09,1.443,1.455,1.488,1.418,15791.34,988,1.3762000000000003,1.3555000000000006,0.1106870229007633,-0.1106870229007633,False,False
2005-06-10,1.45,1.41,1.465,1.405,10463.81,988,1.3948000000000005,1.3625000000000005,0.0706150341685649,-0.0706150341685649,False,False
2005-06-13,1.393,1.428,1.443,1.375,7220.77,988,1.4160000000000004,1.3693000000000004,0.08018154311649,-0.08018154311649,False,False
2005-06-14,1.435,1.398,1.438,1.383,4724.78,988,1.4272000000000002,1.3749000000000005,0.0417287630402383,-0.0417287630402383,False,False
2005-06-15,1.41,1.34,1.413,1.337,4791.7,988,1.4062,1.3767000000000005,-0.0726643598615916,0.0726643598615916,False,False
2005-06-16,1.34,1.35,1.365,1.32,5186.92,988,1.3852,1.3807000000000005,-0.0721649484536082,0.0721649484536082,False,False
2005-06-17,1.35,1.332,1.362,1.325,4178.49,988,1.3696,1.3822000000000003,-0.0553191489361701,0.0553191489361701,False,False
2005-06-20,1.347,1.4,1.408,1.31,8001.79,988,1.364,1.3900000000000003,-0.0196078431372549,0.0196078431372549,False,False
2005-06-21,1.415,1.39,1.415,1.373,6759.43,988,1.3624,1.3948000000000005,-0.0057224606580829,0.0057224606580829,False,False
2005-06-22,1.385,1.428,1.433,1.37,7710.66,988,1.38,1.3931000000000004,0.0656716417910446,-0.0656716417910446,False,False
2005-06-23,1.423,1.393,1.428,1.38,6469.01,988,1.3886,1.3869000000000005,0.0318518518518518,-0.0318518518518518,False,False
2005-06-24,1.393,1.39,1.398,1.362,3525.74,988,1.4002,1.3849000000000005,0.0435435435435434,-0.0435435435435434,False,False
2005-06-27,1.413,1.45,1.465,1.395,15967.91,988,1.4102,1.3871000000000009,0.0357142857142857,-0.0357142857142857,False,False
2005-06-28,1.423,1.415,1.455,1.415,11358.73,988,1.4152000000000002,1.3888000000000005,0.0179856115107914,-0.0179856115107914,False,False
2005-06-29,1.415,1.42,1.443,1.415,4949.73,988,1.4136000000000002,1.3968000000000005,-0.0056022408963585,0.0056022408963585,False,False
2005-07-01,1.373,1.265,1.373,1.265,14389.3,988,1.3880000000000003,1.3883000000000003,-0.0918880114860015,0.0918880114860015,False,False
2005-07-04,1.252,1.179,1.252,1.134,11666.04,988,1.3458000000000003,1.3730000000000009,-0.151798561151079,0.151798561151079,False,False
2005-07-05,1.169,1.159,1.187,1.146,4141.69,988,1.2876000000000003,1.3489000000000009,-0.2006896551724137,0.2006896551724137,False,False
