date,open,close,high,low,volume,code,5日均线,10日均线,涨幅,跌幅,mixumum,minumum
2005-05-09,-3.137,-3.17,-3.135,-3.172,44088.0,600000,,,,,False,False
2005-05-10,-3.17,-3.145,-3.135,-3.172,49067.41,600000,,,,,False,False
2005-05-11,-3.144,-3.142,-3.123,-3.151,55283.35,600000,,,,,False,False
2005-05-12,-3.123,-3.163,-3.123,-3.163,54174.47,600000,,,,,False,False
2005-05-13,-3.166,-3.156,-3.138,-3.175,38519.6,600000,-3.1552,,,,False,False
2005-05-16,-3.158,-3.152,-3.144,-3.173,21429.17,600000,-3.1516,,-0.0056782334384857,0.0056782334384857,False,False
2005-05-17,-3.152,-3.142,-3.124,-3.161,29984.01,600000,-3.151,,-0.0009538950715421,0.0009538950715421,False,False
2005-05-18,-3.131,-3.149,-3.128,-3.159,38100.65,600000,-3.1524,,0.0022278803309994,-0.0022278803309994,False,False
2005-05-19,-3.147,-3.124,-3.121,-3.152,35161.37,600000,-3.1446,,-0.012330066392665,0.012330066392665,False,False
2005-05-20,-3.123,-3.138,-3.121,-3.14,22622.77,600000,-3.141,-3.1481000000000003,-0.005703422053232,0.005703422053232,False,False
2005-05-23,-3.138,-3.165,-3.138,-3.175,69166.01,600000,-3.1436,-3.1476,0.0041243654822334,-0.0041243654822334,False,False
2005-05-24,-3.172,-3.158,-3.151,-3.173,31534.0,600000,-3.1468,-3.1489000000000003,0.0050922978994271,-0.0050922978994271,False,False
2005-05-25,-3.152,-3.163,-3.138,-3.166,31385.64,600000,-3.1496000000000004,-3.151,0.0044458558272466,-0.0044458558272466,False,False
2005-05-26,-3.161,-3.177,-3.152,-3.184,32253.07,600000,-3.1602,-3.1524,0.0169654289372599,-0.0169654289372599,False,False
2005-05-27,-3.177,-3.184,-3.163,-3.191,26402.97,600000,-3.1694000000000004,-3.1552,0.0146590184831103,-0.0146590184831103,False,False
2005-05-30,-3.184,-3.168,-3.166,-3.198,19255.65,600000,-3.1700000000000004,-3.1568,0.0009478672985782,-0.0009478672985782,False,False
2005-05-31,-3.168,-3.184,-3.161,-3.187,28306.09,600000,-3.1752,-3.1610000000000005,0.0082330588980368,-0.0082330588980368,False,False
2005-06-01,-3.184,-3.203,-3.177,-3.21,35054.47,600000,-3.1832000000000003,-3.1664000000000003,0.012646221941195,-0.012646221941195,False,False
2005-06-02,-3.205,-3.222,-3.192,-3.234,66711.63,600000,-3.1922,-3.1762000000000006,0.0141643059490084,-0.0141643059490084,False,True
2005-06-03,-3.226,-3.201,-3.185,-3.226,53525.6,600000,-3.1956,-3.1825,0.0053391959798994,-0.0053391959798994,False,False
2005-06-06,-3.203,-3.187,-3.18,-3.219,28445.98,600000,-3.1994,-3.1847000000000003,0.0059974747474746,-0.0059974747474746,False,False
2005-06-07,-3.184,-3.191,-3.166,-3.199,34118.87,600000,-3.2008,-3.188,0.0021984924623114,-0.0021984924623114,False,False
2005-06-08,-3.074,-3.1,-3.074,-3.185,156884.82,600000,-3.1802,-3.1817,-0.032157352482048,0.032157352482048,False,False
2005-06-09,-3.1,-3.11,-3.088,-3.128,131936.41,600000,-3.1578000000000004,-3.1750000000000003,-0.0347610180012415,0.0347610180012415,False,False
2005-06-10,-3.11,-3.102,-3.067,-3.121,150261.48,600000,-3.1380000000000003,-3.1668000000000003,-0.0309278350515464,0.0309278350515464,False,False
2005-06-13,-3.102,-3.112,-3.086,-3.13,59609.92,600000,-3.123,-3.1612,-0.0235331032318794,0.0235331032318794,False,False
2005-06-14,-3.107,-3.119,-3.1,-3.123,54629.77,600000,-3.1086000000000005,-3.1547,-0.0225634597304918,0.0225634597304918,False,False
2005-06-15,-3.123,-3.133,-3.117,-3.14,41288.72,600000,-3.1152000000000006,-3.1477,0.0106451612903225,-0.0106451612903225,False,True
2005-06-16,-3.13,-3.075,-3.072,-3.13,221679.68,600000,-3.108200000000001,-3.133,-0.0112540192926044,0.0112540192926044,False,False
2005-06-17,-3.072,-3.051,-3.04,-3.088,187577.43,600000,-3.0980000000000008,-3.118,-0.0164410058027078,0.0164410058027078,False,False
2005-06-20,-3.04,-3.033,-3.009,-3.063,209778.0,600000,-3.0822000000000007,-3.1026,-0.0253856041131105,0.0253856041131105,False,False
2005-06-21,-3.028,-3.026,-3.007,-3.044,144592.12,600000,-3.0636000000000005,-3.0861,-0.0298172491183072,0.0298172491183072,False,False
2005-06-22,-3.032,-3.005,-3.002,-3.037,132548.28,600000,-3.0380000000000003,-3.0766,-0.0408554101500159,0.0408554101500159,False,False
2005-06-23,-3.0,-3.026,-2.998,-3.035,88286.22,600000,-3.0282000000000004,-3.0682,-0.0159349593495936,0.0159349593495936,False,False
2005-06-24,-3.035,-3.023,-3.011,-3.049,132683.22,600000,-3.0226,-3.0603,-0.0091773189118321,0.0091773189118321,False,False
2005-06-27,-3.0,-3.016,-2.983,-3.026,117669.9,600000,-3.0192000000000005,-3.0507,-0.0056050115397296,0.0056050115397296,False,False
2005-06-29,-3.026,-3.039,-3.023,-3.053,60142.57,600000,-3.0218000000000003,-3.0427,0.004296100462657,-0.004296100462657,False,False
2005-06-30,-3.042,-3.018,-2.991,-3.06,72035.1,600000,-3.024400000000001,-3.0312,0.0043261231281197,-0.0043261231281197,False,False
2005-07-01,-3.03,-3.068,-3.03,-3.077,47086.99,600000,-3.032800000000001,-3.0305000000000004,0.0138797091870456,-0.0138797091870456,False,False
2005-07-04,-3.079,-3.056,-3.054,-3.086,30880.82,600000,-3.0394000000000005,-3.0310000000000006,0.0109163083030102,-0.0109163083030102,False,False
2005-07-05,-3.056,-3.061,-3.044,-3.079,25782.88,600000,-3.0484000000000004,-3.0338000000000003,0.014920424403183,-0.014920424403183,False,False
2005-07-06,-3.056,-3.06,-3.042,-3.065,22130.15,600000,-3.052600000000001,-3.0372000000000003,0.0069101678183612,-0.0069101678183612,False,False
